component,value,unit,uncertainty_type,evidence_type,source,source_sha256,status
GNSS/RTX position uncertainty,0.02-0.04 nominal; 0.20-0.40 documented urban-canyon residual RMS,m,RMSE,IJRR_AND_DATA_REFERENCE,Boreas IJRR Table 2 and Section 6; DATA_REFERENCE.md,0c1059705ebbaedd8d45d363db83cd8cd6ed1bb38679eb9dbefb94d93010ad9d,SEQUENCE_DEPENDENT_LIMITED_NUMERIC
orientation uncertainty,UNKNOWN,rad,UNKNOWN,NO_RELEASE_WIDE_NUMERIC_BOUND,Boreas IJRR/POSPac documentation audit,0c1059705ebbaedd8d45d363db83cd8cd6ed1bb38679eb9dbefb94d93010ad9d,UNKNOWN
sequence-dependent ground-truth quality,0.02-0.04 nominal; can degrade to 0.20-0.40,m,RMSE,OFFICIAL_SEQUENCE_DEPENDENCE_STATEMENT,DATA_REFERENCE.md,0c1059705ebbaedd8d45d363db83cd8cd6ed1bb38679eb9dbefb94d93010ad9d,SEQUENCE_DEPENDENT_LIMITED_NUMERIC
Applanix time uncertainty,UNKNOWN,s,UNKNOWN,PPS_NMEA_WITHOUT_ERROR_BOUND,boreas_time_sync_audit.json,e252573f6f4c52de26e185262d04c007bc4a2a4e3f4fbea0b92c39798763e661,UNKNOWN
Velodyne time synchronization uncertainty,UNKNOWN,s,UNKNOWN,PPS_NMEA_WITHOUT_ERROR_BOUND,boreas_time_sync_audit.json,e252573f6f4c52de26e185262d04c007bc4a2a4e3f4fbea0b92c39798763e661,UNKNOWN
T_applanix_lidar translation uncertainty,UNKNOWN,m,UNKNOWN,PROPRIETARY_LIDAR_ASSISTED_CALIBRATION_NO_BOUND,boreas_lidar_extrinsic_provenance.json,fda2be032b760caefdc8db89619a9d47c7deec1a513b72f7714c01f5791a9cf0,UNKNOWN
T_applanix_lidar rotation uncertainty,UNKNOWN,rad,UNKNOWN,PROPRIETARY_LIDAR_ASSISTED_CALIBRATION_NO_BOUND,boreas_lidar_extrinsic_provenance.json,fda2be032b760caefdc8db89619a9d47c7deec1a513b72f7714c01f5791a9cf0,UNKNOWN
GT interpolation uncertainty,UNKNOWN,m/rad,UNKNOWN,NO_PUBLISHED_BOUND,boreas_transform_chain_consistency.json,e252573f6f4c52de26e185262d04c007bc4a2a4e3f4fbea0b92c39798763e661,UNKNOWN
future deskew uncertainty,UNKNOWN,m/rad,UNKNOWN,NOT_MATERIALIZED_STAGE1,Stage-1 scope,e252573f6f4c52de26e185262d04c007bc4a2a4e3f4fbea0b92c39798763e661,UNKNOWN
future target-map accumulation uncertainty,UNKNOWN,m/rad,UNKNOWN,NOT_MATERIALIZED_STAGE1,Stage-1 scope,e252573f6f4c52de26e185262d04c007bc4a2a4e3f4fbea0b92c39798763e661,UNKNOWN
